,post_url,account,like_count,comment_count,share_count,caption,hashtags,comments,date_posted,date_collect
10,https://www.tiktok.com/@iaf1/video/7211886820739583234,iaf1,9963,39,134,مع @Chef Eman 👩🏻‍🍳 ماشاء الله عليها 😍👏🏻,"['#دويتو', '#احمد_فهد', '#اكسبلور', '#السعودية']","[""I don't know what you are saying --but I know exactly what you are saying. 😂 Bravo! Great review!! I want to watch you review anything!"", '😂😂😂❤️', 'انت م تجيني الا اذا جا رمضان ؟', 'بس ذي الاكله ممكن تعطش', 'يعجبني لما يسوي نفسه ما شاف الفيديو 😂😂😂😂', 'اللهم بلغنا رمضان😊', '🥰🥰🥰🥰كل عام وانتم بخير بمناسبة شهر رمضان', 'رمضان كريم', 'انت ما كنت يوتيوبر', '😂😂😂', 'اخي تخبل', 'اول مبدعععععع طلع تعليقي تكفى', 'اوللل🤍', 'اخيراااا', 'قبل المغرب بساعه مايمدي نغسل المواعين ونسوي القهوه ونلقم اللقيمات ولو تقول شي الملاس ينتظرك', 'أي والله اتفدني', '😂😂😂شكله مثلي يحفظ افكار وفيديوهات وبعدين مايطبقهن', 'بتحسماتغبخغب', '😂😂😂', '❤❤❤']",2d ago,2023-03-20
11,https://www.tiktok.com/@iamdtg/video/7211240110858259718,iamdtg,12.2K,110,235,Accurate or nah? 😂,"['#fyp', '#eminem', '#funny']","[""let's hear Eminem trash talk while playing online games"", '@eminem 😂', 'Dude is just ILL!', 'TREE SAP 😋 🥰😂', '😂😂', 'B 🐇', '@favoritesiykyk', 'hiii', '😂😂😂', ""@B'look (ræppern)"", '😂😂😂🥰', '😂😂😂😂😂', '😂', '😂😂😂', '🤣😍😀', '@eminem', '😂😂😂', '😂😂', '😂😂😂😂😂', '😂😂😂']",4d ago,2023-03-20
12,https://www.tiktok.com/@147lilly/video/7201856219986939141,147lilly,146.5K,11.7K,259,FOLLOWING BACK WHEN TIKTOK ALLOWS ME ‼️#fyp,"['#foryoupage', '#fyp', '#icespice', '#icespicecult', '#munch', '#icespicemunch', '#following']","['no it’s bc i love ice spice 🥰(i need the followers man)', '😙😙', '😭😭', '@♥︎ 😭', '😭😭', '🏃\u200d♀️', 'IN ICE SPICE WE TRUSTTTT 😉🤷🏾\u200d♀️', '😳', 'love the ice spice cult', 'Ice spice on top', 'Ice spice frv', 'Ice spice 4lifeee', 'Nope..gotta love ice spice 😁', 'hey', 'Same😭', 'guilty', 'ICE SPICE IS ICE LIFE', 'yes', 'real', 'NAH I LOVE ICE SPICE🤷\u200d♀️']",2-19,2023-03-20
13,https://www.tiktok.com/@holybranches/video/7196718834093444354,holybranches,3.3M,19.4K,16.2K,"or, yknow, don't! /","['#julieandthephantoms', '#jatp', '#jatpedit']","['YES WE NEED MORE JULIE AND THE PHANTOMS EDITS!! THANK YOU!', 'FINALLY JULIE AND THE PHANTOMS EDITS', 'FINALLY JULIE AND THE PHANTOMS ARE ON MY FYP', 'explaining how they died is so silly', 'NO YOU DIDNT 😭😭😭', 'Time to go rewatch Julie and the phantoms 😌', 'when I watched it I was like “WAIT HOW THEY DIE”😭', 'I never understood this scene till now', 'FINALLY', 'I remember when this first came out and people where convinced that Trevor poisoned the hotdogs', 'the fact they said before that was ""street dogs haven\'t killed us yet""', 'QUALITY', 'THEY NEED TO BRING THIS SHOW BACK RNNNN', ""I'M FINALLY ON JULIE AND THE PHANTOMS TIKTOK YAYYYYYY"", 'WHAT I LOVE LULIE AND THE PHANTOMS I THOUGHT I WAS ONLY ONE THAT WATCHED IT?😨', 'I forgot this show existed', 'I FINALLY FOUND THE FANDOM', 'OMG I LOVE THIS BUT IM SAD THEY’RE CANCELING IT', 'I need s2 I need it I’m in need', 'THANK U I NEED MORE OF JULIE AND THE PHANTOMS EDITS']",2-5,2023-03-20
14,https://www.tiktok.com/@mdmotivator/video/7203838800164916486,mdmotivator,867.6K,3456,1426,"I tried giving $2000 iPhone away, BUT then this happened 🥺❤️","['#iphone', '#mom', '#lent']","['A woman of faith 🤝🏽', '🙏', 'Who buys IPhones in dollar tree stores ??? They knew😂', 'Did he say giving up lying? 😂 What’s he been up to lol', 'He said he’s giving up lying for Lent. AHHHHH!!! 😩😭', '🥰🥰', 'She’s been watching the tiktoks 😂😂😂', 'God bless her', 'She been watching tik tok she knows better lol', '❤️❤️', 'super', 'This man is such a W i swear. Keep up the good work bro! 💪', 'amazing 🤗🤗🤗', 'wow', 'you are amazing', 'She’s an example for her son 🥹♥️', 'Buying an IPhone at dollar store......', 'God bless❤️', 'This is beautiful']",2-24,2023-03-20
15,https://www.tiktok.com/@kubikrombik/video/7202274462505438469,kubikrombik,247.3K,842,1795,Уявляєш?,['#kubikrombik'],"['@sqvchv 😂', '😂😂😂', '@viky_witch 🥰😂', '@sashantj 😂', '@_karishhka_21 😂😂😂😂', 'коли ми переможемо всі будуть пити, навіть ти хто з роду не пив', 'а мені вже шкода тебе стало😂', 'пов: я розповідаю всім про своє життя', 'Я реально вже 15 годин як не пью алко', 'Вже як 2 роки я чекаю, поки Даша лайкне мій комент', 'в такий час як зараз коли йде війна і може статись що завгодно, не потрібно собі в чомусь відмовляти тому що завтра може не настати, я саме так і живу', 'Сьогодні день небесної сотні 🕯', 'я вже с перших слів це зрозуміла', 'То чувство, когда угадал концовку😁😏', 'Бачу Дашу - ставлю лайк', 'А я вже повірив😂', 'Зробив(-ла) репост цього відео', 'кожне відео з передбачуваним кінцем😳', '😂😂😂😂Так Як І Я', 'ти дуже класна']",2-20,2023-03-20
16,https://www.tiktok.com/@swagboygorringe/video/7210199873621183762,swagboygorringe,333.5K,3585,4477,I have no idea whats happening here but i could beat them both,"['#fyp', '#foryou', '#foryoupage', '#xyzbca', '#viral']","['what is happening. 🧍', 'Two weird kids who never get attention don’t realize people are laughing at them not with them 🌝', 'The fact that this actually happened in real life', 'They were very serious about this battle.', 'How does things type of stuff even start🧍', 'wada heel', 'Npc vs emo', 'having a dance battle w/ 0 music is crazy', 'HOW ARE THEY NOT EMBARRASSED', 'intense anime fight', 'Most normal NPC interaction in Los Santos', '😍 Early 😉', 'Wonder what the bully to nerd ratio in school is like nowadays', 'Me when someone placed an order', 'not me wanting you to move your head so I can see the name of the original account lol', 'Cool video 😅', 'they are showing the hidden talent😳', 'how are that many ppl hyping it up tho. wtf lol', 'the fact that they actually thing they did something', 'Bros ass is sweating 💀😭']",6d ago,2023-03-20
17,https://www.tiktok.com/@helinakeiju69/video/7208319891722489093,helinakeiju69,1211,0,3,,[],[],3-8,2023-03-20
18,https://www.tiktok.com/@tmovisuals/video/7212084020258131246,tmovisuals,318.7K,9359,123,Gift for @rug ! Day 41,"['#chugrug', '#xyzbca', '#fazerug', '#brawadis', '#fyp', '#notviral', '#overrated']","['noah', 'Alex', 'angel', 'Katherine', 'Taylor', 'Jayden', 'benny', 'Naomi', 'Dylan', 'Jace', 'kayden', 'Brayden', 'colin', 'Tyson', 'sophia', 'Kevin', 'zion', 'amber', 'Dylan', 'Luke']",1d ago,2023-03-20
19,https://www.tiktok.com/@iaf1/video/7211886820739583234,iaf1,9966,39,134,مع @Chef Eman 👩🏻‍🍳 ماشاء الله عليها 😍👏🏻,"['#دويتو', '#احمد_فهد', '#اكسبلور', '#السعودية']","[""I don't know what you are saying --but I know exactly what you are saying. 😂 Bravo! Great review!! I want to watch you review anything!"", '😂😂😂❤️', 'انت ماتجي الا في رمضان', 'انت م تجيني الا اذا جا رمضان ؟', 'بس ذي الاكله ممكن تعطش', 'يعجبني لما يسوي نفسه ما شاف الفيديو 😂😂😂😂', '😂😂', 'مشالله', 'اللهم بلغنا رمضان😊', '🥰🥰🥰🥰كل عام وانتم بخير بمناسبة شهر رمضان', 'رمضان كريم', 'تستاهل يااحمد', 'احسن شيف🥰', 'انت ما كنت يوتيوبر', '😂😂😂', 'شكلك جوعان مثلي', 'اخي تخبل', 'كل سنة ووانتو بالف خير', 'اول مبدعععععع طلع تعليقي تكفى', 'اوللل🤍']",2d ago,2023-03-20
20,https://www.tiktok.com/@iamdtg/video/7211240110858259718,iamdtg,12.2K,110,235,Accurate or nah? 😂,"['#fyp', '#eminem', '#funny']","[""let's hear Eminem trash talk while playing online games"", 'How has Eminem not seen this man?', 'first', 'Eminem got a barista doppelgänger', 'B rab… IT 😂', 'the way he keeps reciting #rapgod 😂', ""ain't this lil Windex???"", 'firsy like', 'bro is more Eminem than Geniune Eminem', '😂😂😂😂', 'u get good talent😅😅..u good bro', 'b rabbit decaf', '😂😂😂', '😂', 'ily', 'okay sir I quit my job😭😭', 'A Day in The Life', 'missed opportunity for an awfully hot coffee pot joke', 'he will never quit', '😂😂']",4d ago,2023-03-20
21,https://www.tiktok.com/@theonlyromantoolit/video/7211928532694469930,theonlyromantoolit,17.4K,461,36,What yall eat for breakfast?!?,"['#fy', '#fyp', '#trending', '#wtofam']","['ramen w/ kimchi with dumplings', 'Red takis and I’m still eating them', 'Nothing', 'Jackson 😁😍', 'I ate air for breakfast 🤷🏿\u200d♀️', 'First time you are in my fyp', 'I ate jackson', 'Steak', 'The one in the red tho😍', 'Yoo ramen I had pancakes and bacon', 'i aint eat breakfast lmao🤷🏽\u200d♀️', 'Do Roman answer ?', 'A nice cold glass of sprite', 'nah jackson tho!!!!', 'Hi Roman', 'I ate air for breakfast no cap', 'air', 'Forget Roman Jackson hotter no cap sorry Roman you were cute but Jackson a different level', 'Eggs and bacon and toast', 'Young goat ytb fr']",2d ago,2023-03-20
22,https://www.tiktok.com/@holybranches/video/7196718834093444354,holybranches,3.3M,19.4K,16.2K,"or, yknow, don't! /","['#julieandthephantoms', '#jatp', '#jatpedit']","['YES WE NEED MORE JULIE AND THE PHANTOMS EDITS!! THANK YOU!', 'FINALLY JULIE AND THE PHANTOMS EDITS', 'FINALLY JULIE AND THE PHANTOMS ARE ON MY FYP', 'explaining how they died is so silly', 'NO YOU DIDNT 😭😭😭', 'Time to go rewatch Julie and the phantoms 😌', 'when I watched it I was like “WAIT HOW THEY DIE”😭', 'I never understood this scene till now', 'FINALLY', 'I remember when this first came out and people where convinced that Trevor poisoned the hotdogs', 'the fact they said before that was ""street dogs haven\'t killed us yet""', 'QUALITY', 'THEY NEED TO BRING THIS SHOW BACK RNNNN', ""I'M FINALLY ON JULIE AND THE PHANTOMS TIKTOK YAYYYYYY"", 'WHAT I LOVE LULIE AND THE PHANTOMS I THOUGHT I WAS ONLY ONE THAT WATCHED IT?😨', 'I forgot this show existed', 'I FINALLY FOUND THE FANDOM', 'OMG I LOVE THIS BUT IM SAD THEY’RE CANCELING IT', 'I need s2 I need it I’m in need', 'THANK U I NEED MORE OF JULIE AND THE PHANTOMS EDITS']",2-5,2023-03-20
